# MGA SCAN
# Sequence: VENUS → EARTH → JUPITER
# v∞ bounds: {'VENUS': (0, 15), 'EARTH': (3, 20), 'JUPITER': (0, 100)}
# Periapsis radii: [1.05, 1.1, 1.2, 1.3, 1.4, 1.5, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 15, 20, 30]
# Min flyby alt: {'EARTH': 200}
# Grid resolution: 14 days
# Propagation: 3000 days
#
sequence,t_launch_et,t_launch_utc,vinf_dep_km_s,c3_km2_s2,vinf_dep_vec_x,vinf_dep_vec_y,vinf_dep_vec_z,flyby_body,t_flyby_et,t_flyby_utc,tof_leg1_days,vinf_flyby_km_s,flyby_periapsis_km,flyby_alt_km,turn_angle_deg,vinf_in_vec_x,vinf_in_vec_y,vinf_in_vec_z,vinf_out_vec_x,vinf_out_vec_y,vinf_out_vec_z,target_body,t_arrival_et,t_arrival_utc,tof_leg2_days,tof_total_days,vinf_target_km_s,min_range_km,soi_fraction,vinf_target_vec_x,vinf_target_vec_y,vinf_target_vec_z
VENUS → EARTH → JUPITER,893246469.183905,2028 APR 22 00:00:00,12.549921239317625,157.50052311307562,-9.942669933431384,-7.637207926379709,-0.5629323202287633,EARTH,943099269.1847718,2029 NOV 20 00:00:00,577.0000000100321,16.080989063938876,6689.558784999999,318.55041833333325,-21.586722854926744,-8.722616261256462,-13.334163171596288,2.1712363636028438,-13.01658714650252,-9.189798745641598,2.1712363636028438,JUPITER,1001242590.9670681,2031 SEP 23 22:55:22,672.955113221022,1249.9551132310542,9.281766568382627,30939101.582868833,0.6407360773674324,-5.938080346097763,-7.1291393053243235,-0.2564472626344627
VENUS → EARTH → JUPITER,893246469.183905,2028 APR 22 00:00:00,12.549921239317625,157.50052311307562,-9.942669933431384,-7.637207926379709,-0.5629323202287633,EARTH,943099269.1847718,2029 NOV 20 00:00:00,577.0000000100321,16.080989063938876,7008.109203333333,637.1008366666674,-20.773303720302923,-8.722616261256462,-13.334163171596288,2.1712363636028438,-12.884813680679787,-9.373660882603843,2.1712363636028438,JUPITER,1004625463.1488999,2031 NOV 02 02:36:34,712.1087264366682,1289.1087264467003,8.416232209774574,30830601.79156616,0.6384890912845219,-5.597130552141513,-6.281401281544331,-0.2215674419771394
VENUS → EARTH → JUPITER,893246469.183905,2028 APR 22 00:00:00,12.549921239317625,157.50052311307562,-9.942669933431384,-7.637207926379709,-0.5629323202287633,EARTH,943099269.1847718,2029 NOV 20 00:00:00,577.0000000100321,16.080989063938876,7645.210039999999,1274.201673333333,-19.31831447452489,-8.722616261256462,-13.334163171596288,2.1712363636028438,-12.642646899307767,-9.697804973668738,2.1712363636028438,JUPITER,1016151727.8413706,2032 MAR 14 12:20:59,845.5145677847084,1422.5145677947405,6.971547557395754,33988624.349319465,0.7038904404631006,-5.2882255347870775,-4.542081080780135,-0.08151989864926185
VENUS → EARTH → JUPITER,893246469.183905,2028 APR 22 00:00:00,11.919677345321347,142.07870801656694,-6.703470230177183,-9.835984034499518,0.6289777124555611,EARTH,976968069.1847718,2030 DEC 17 00:00:00,969.0000000100321,17.677545760919607,12742.016733333332,6371.008366666666,-10.441799148079175,-3.6691999048049944,-17.19404853224393,1.8431742345275368,-6.724627838610551,-16.24431326042331,1.8431742345275368,JUPITER,1034799791.0174975,2032 OCT 16 08:22:02,669.3486323232148,1638.348632333247,9.348668962950441,27677546.25083238,0.5731906069869026,-1.556173406386904,-9.215973473738579,-0.20437377384073818
VENUS → EARTH → JUPITER,893246469.183905,2028 APR 22 00:00:00,10.497441309576182,110.1962740479965,-3.1283458121569243,-9.96484566036704,1.0543137543544199,EARTH,978177669.1847718,2030 DEC 31 00:00:00,983.0000000100321,17.18005614240675,7008.109203333333,637.1008366666674,-18.595849736044652,0.2226215634251396,-17.080931145667435,1.829360514692026,-5.235950512174195,-16.260153486286544,1.829360514692026,JUPITER,1020937477.6758587,2032 MAY 08 21:43:28,494.90519086906204,1477.905190879094,15.257905867900535,36703063.06771592,0.7601053506479086,-1.283847521843434,-15.203090046091765,-0.14656078873820438
VENUS → EARTH → JUPITER,893246469.183905,2028 APR 22 00:00:00,10.497441309576182,110.1962740479965,-3.1283458121569243,-9.96484566036704,1.0543137543544199,EARTH,978177669.1847718,2030 DEC 31 00:00:00,983.0000000100321,17.18005614240675,7645.210039999999,1274.201673333333,-17.268383008438022,0.2226215634251396,-17.080931145667435,1.829360514692026,-4.857852931826115,-16.377088692935693,1.829360514692026,JUPITER,1022456463.9488943,2032 MAY 26 11:39:55,512.4860505106769,1495.486050520709,14.065072611863814,10320264.60209063,0.2137284381327651,-0.8918694860784591,-14.035661149380772,-0.17621718578768164
VENUS → EARTH → JUPITER,893246469.183905,2028 APR 22 00:00:00,10.497441309576182,110.1962740479965,-3.1283458121569243,-9.96484566036704,1.0543137543544199,EARTH,978177669.1847718,2030 DEC 31 00:00:00,983.0000000100321,17.18005614240675,8282.310876666666,1911.3025100000004,-16.118405987604177,0.2226215634251396,-17.080931145667435,1.829360514692026,-4.528193894257289,-16.47128498993156,1.829360514692026,JUPITER,1023960076.0776038,2032 JUN 12 21:20:07,529.8889686670375,1512.8889686770697,12.9894070677491,25767121.127912123,0.5336264879033058,-0.6469222918802409,-12.971780332783133,-0.19774356621496259
VENUS → EARTH → JUPITER,894456069.183905,2028 MAY 06 00:00:00,13.058244175613476,170.51774094994326,-4.298997999243021,-12.278444901316234,1.129667188949535,EARTH,978177669.1847718,2030 DEC 31 00:00:00,969.0000000100321,18.207109257044,6689.558784999999,318.55041833333325,-17.52739177467271,1.0186846094562902,-18.116740221326015,1.4982766491480672,-4.484678332100527,-17.582424600667082,1.4982766491480672,JUPITER,1020595821.734471,2032 MAY 04 22:49:13,490.95083969559244,1459.9508397056245,14.463225541043968,32732688.598449618,0.6778805272701639,-0.5460996067917616,-14.452522050694032,-0.10618213018780664
VENUS → EARTH → JUPITER,911390469.183905,2028 NOV 18 00:00:00,9.473411219310979,89.74552013016712,0.6828328811308371,-9.401810294145157,0.9408626783541922,EARTH,978177669.1847718,2030 DEC 31 00:00:00,773.0000000100321,15.969360352587612,7008.109203333333,637.1008366666674,-21.01428349685941,0.6347398864842937,-15.814867707206428,2.1230955585800575,-5.07869821766534,-14.990655747291967,2.1230955585800575,JUPITER,1026106440.7693316,2032 JUL 07 17:32:52,554.7311525990717,1327.731152609104,12.878004622519468,34977910.360827886,0.7243781471507231,-1.059973955905054,-12.831973827161633,-0.24475696001262837
VENUS → EARTH → JUPITER,911390469.183905,2028 NOV 18 00:00:00,9.473411219310979,89.74552013016712,0.6828328811308371,-9.401810294145157,0.9408626783541922,EARTH,978177669.1847718,2030 DEC 31 00:00:00,773.0000000100321,15.969360352587612,7645.210039999999,1274.201673333333,-19.545526762529878,0.6347398864842937,-15.814867707206428,2.1230955585800575,-4.692791622945028,-15.115906922958734,2.1230955585800575,JUPITER,1028583785.475345,2032 AUG 05 09:41:56,583.4041237334866,1356.4041237435185,11.527441616447827,14877220.73970438,0.30810112676852025,-0.8687824723631188,-11.491567217695595,-0.26647723638583476
VENUS → EARTH → JUPITER,911390469.183905,2028 NOV 18 00:00:00,9.473411219310979,89.74552013016712,0.6828328811308371,-9.401810294145157,0.9408626783541922,EARTH,978177669.1847718,2030 DEC 31 00:00:00,773.0000000100321,15.969360352587612,8282.310876666666,1911.3025100000004,-18.269503203434105,0.6347398864842937,-15.814867707206428,2.1230955585800575,-4.355012184296459,-15.21666205823617,2.1230955585800575,JUPITER,1031261706.1782734,2032 SEP 05 09:33:57,614.3985763136767,1387.3985763237088,10.312865563393776,32067595.487274166,0.6641067223005127,-0.8555231034093982,-10.273639502377833,-0.2749685861107689
VENUS → EARTH → JUPITER,912600069.183905,2028 DEC 02 00:00:00,9.312037910382083,86.7140500443931,-2.1000018342743694,-9.017771317382973,0.9918885057416207,EARTH,978177669.1847718,2030 DEC 31 00:00:00,759.0000000100321,15.858400316992538,7008.109203333333,637.1008366666674,-21.257735749264274,0.58457210781269,-15.743679658369082,1.81209461105431,-5.163292220940188,-14.884407518465608,1.81209461105431,JUPITER,1026063492.8162518,2032 JUL 07 05:37:04,554.234069808796,1313.2340698188282,12.981893974252266,40823220.26936704,0.8454321128504951,-1.103154000446823,-12.93390661163937,-0.16334678269507436
VENUS → EARTH → JUPITER,912600069.183905,2028 DEC 02 00:00:00,9.312037910382083,86.7140500443931,-2.1000018342743694,-9.017771317382973,0.9918885057416207,EARTH,978177669.1847718,2030 DEC 31 00:00:00,759.0000000100321,15.858400316992538,7645.210039999999,1274.201673333333,-19.775139836930354,0.58457210781269,-15.743679658369082,1.81209461105431,-4.776455076968801,-15.013016040498856,1.81209461105431,JUPITER,1028537003.1695706,2032 AUG 04 20:42:14,582.8626618610971,1341.8626618711291,11.625588691013412,15138565.393407714,0.3135134671303213,-0.8940426322441883,-11.58971213570245,-0.18322880750631698
VENUS → EARTH → JUPITER,912600069.183905,2028 DEC 02 00:00:00,9.312037910382083,86.7140500443931,-2.1000018342743694,-9.017771317382973,0.9918885057416207,EARTH,978177669.1847718,2030 DEC 31 00:00:00,759.0000000100321,15.858400316992538,8282.310876666666,1911.3025100000004,-18.486724870738545,0.58457210781269,-15.743679658369082,1.81209461105431,-4.4376769847578466,-15.116619883873758,1.81209461105431,JUPITER,1031210906.4610102,2032 SEP 04 19:27:17,613.8106166231302,1372.8106166331622,10.40681746778677,26022550.510509364,0.5389163254317608,-0.8660388098717036,-10.368940802236759,-0.19207609777778345
VENUS → EARTH → JUPITER,912600069.183905,2028 DEC 02 00:00:00,9.312037910382083,86.7140500443931,-2.1000018342743694,-9.017771317382973,0.9918885057416207,EARTH,978177669.1847718,2030 DEC 31 00:00:00,759.0000000100321,15.858400316992538,8919.411713333331,2548.403346666665,-17.356545520586327,0.58457210781269,-15.743679658369082,1.81209461105431,-4.138652392091679,-15.201208179352417,1.81209461105431,JUPITER,1034186375.247156,2032 OCT 09 05:58:26,648.2489127590769,1407.248912769109,9.322238636029667,46730982.536522634,0.9677794412283999,-0.9900075238790169,-9.267561099423428,-0.19060314320810706
VENUS → EARTH → JUPITER,913809669.183905,2028 DEC 16 00:00:00,13.351388524709662,178.25957553774884,-6.421163542836483,-11.688765143888062,0.6332485332979461,EARTH,976968069.1847718,2030 DEC 17 00:00:00,731.0000000100321,17.44987293925828,7645.210039999999,1274.201673333333,-16.81263697313049,-2.448047647784005,-17.19756689952193,1.6579568893386023,-7.317682323534761,-15.754388911067927,1.6579568893386023,JUPITER,1029394754.012313,2032 AUG 14 18:58:05,606.7903336520976,1337.7903336621296,11.44624177753275,42645225.911808126,0.8831651008350409,-1.5285207496741915,-11.342247092417345,-0.18304655719742963
VENUS → EARTH → JUPITER,913809669.183905,2028 DEC 16 00:00:00,13.351388524709662,178.25957553774884,-6.421163542836483,-11.688765143888062,0.6332485332979461,EARTH,976968069.1847718,2030 DEC 17 00:00:00,731.0000000100321,17.44987293925828,8282.310876666666,1911.3025100000004,-15.688579640035432,-2.448047647784005,-17.19756689952193,1.6579568893386023,-7.00721645803184,-15.89490994185374,1.6579568893386023,JUPITER,1032627297.2927907,2032 SEP 21 04:53:48,644.2040290279963,1375.2040290380282,10.189939629674287,24555603.505264413,0.5085364558893629,-1.4928958661915637,-10.078563266084952,-0.16939327211469035
VENUS → EARTH → JUPITER,913809669.183905,2028 DEC 16 00:00:00,13.351388524709662,178.25957553774884,-6.421163542836483,-11.688765143888062,0.6332485332979461,EARTH,976968069.1847718,2030 DEC 17 00:00:00,731.0000000100321,17.44987293925828,8919.411713333331,2548.403346666665,-14.705800146760026,-2.448047647784005,-17.19756689952193,1.6579568893386023,-6.733557807863748,-16.012758781593828,1.6579568893386023,JUPITER,1036445088.4805847,2032 NOV 04 09:23:39,688.3914270348723,1419.3914270449043,9.088855909389727,23584496.67302092,0.48842523253241393,-1.625175049529668,-8.941216492535208,-0.1440674621529534
VENUS → EARTH → JUPITER,913809669.183905,2028 DEC 16 00:00:00,13.351388524709662,178.25957553774884,-6.421163542836483,-11.688765143888062,0.6332485332979461,EARTH,976968069.1847718,2030 DEC 17 00:00:00,731.0000000100321,17.44987293925828,9556.51255,3185.5041833333335,-13.83917633361261,-2.448047647784005,-17.19756689952193,1.6579568893386023,-6.490596804680947,-16.112771259731165,1.6579568893386023,JUPITER,1041378721.7533312,2032 DEC 31 11:50:53,745.4936639879561,1476.4936639979883,8.153205384448462,28702233.62515861,0.594411461348015,-1.9061251831616817,-7.926567272175294,-0.10476691651357972
VENUS → EARTH → JUPITER,913809669.183905,2028 DEC 16 00:00:00,11.539244477111081,133.1541631025386,-3.440853507485496,-10.961468214258744,1.0774529364935632,EARTH,978177669.1847718,2030 DEC 31 00:00:00,745.0000000100321,16.701097471902578,6689.558784999999,318.55041833333325,-20.276234311507594,1.2103637018401514,-16.590043239841425,1.4940353996644054,-4.613862196860143,-15.981451455325491,1.4940353996644054,JUPITER,1025448328.3311623,2032 JUN 30 02:44:19,547.1141104906314,1292.1141105006636,12.484859422681007,18485869.8561269,0.38283476676316996,-0.7217244997577481,-12.463523005893649,-0.10687765021701129
VENUS → EARTH → JUPITER,913809669.183905,2028 DEC 16 00:00:00,11.539244477111081,133.1541631025386,-3.440853507485496,-10.961468214258744,1.0774529364935632,EARTH,978177669.1847718,2030 DEC 31 00:00:00,745.0000000100321,16.701097471902578,7008.109203333333,637.1008366666674,-19.50306177838396,1.2103637018401514,-16.590043239841425,1.4940353996644054,-4.397788457947668,-16.042255816115222,1.4940353996644054,JUPITER,1026699636.7796537,2032 JUL 14 14:19:28,561.5968471629849,1306.5968471730168,11.744756284987991,35281695.18300497,0.7306694059580986,-0.640792730589606,-11.726695607660492,-0.11530392649248028
VENUS → EARTH → JUPITER,933163269.183905,2029 JUL 28 00:00:00,9.1197508986944,83.16985645423732,-1.9340496913770195,-8.857369040098966,0.9880900429708288,EARTH,978177669.1847718,2030 DEC 31 00:00:00,521.0000000100321,14.186369923065536,7645.210039999999,1274.201673333333,-23.74783475233371,1.587179013342297,-14.020164441799142,1.4727333087070502,-4.19330252872844,-13.472207024019598,1.4727333087070502,JUPITER,1058327705.3010709,2033 JUL 15 15:53:56,927.6624550497587,1448.6624550597908,6.263768755290023,36042017.0915784,0.7464153601814626,-2.6269193550073275,-5.686307197521997,-0.002043879874049387
VENUS → EARTH → JUPITER,934372869.183905,2029 AUG 11 00:00:00,11.814168271915186,139.57457195712746,-1.870628992965365,-11.606955665047664,1.1635717929817428,EARTH,978177669.1847718,2030 DEC 31 00:00:00,507.00000001003207,15.295609118510969,6689.558784999999,318.55041833333325,-23.423541757877683,2.3736512587690086,-15.071292216655188,1.0851676958926377,-3.813172707875278,-14.772873223512821,1.0851676958926377,JUPITER,1048582386.880165,2033 MAR 24 20:51:58,814.8694177707547,1321.8694177807868,7.213582795681157,35647363.27584338,0.7382422418659599,-1.9251000409131427,-6.951923079849051,0.023066739810444825
VENUS → EARTH → JUPITER,934372869.183905,2029 AUG 11 00:00:00,11.814168271915186,139.57457195712746,-1.870628992965365,-11.606955665047664,1.1635717929817428,EARTH,978177669.1847718,2030 DEC 31 00:00:00,507.00000001003207,15.295609118510969,7008.109203333333,637.1008366666674,-22.555597312427494,2.3736512587690086,-15.071292216655188,1.0851676958926377,-3.5889570608284704,-14.82893983377087,1.0851676958926377,JUPITER,1062197467.1076622,2033 AUG 29 10:49:58,972.4513648482688,1479.4513648583008,6.648880383842295,28988983.256409448,0.6003499283530154,-2.5253389562015034,-6.150395769805454,0.05390166688653811
