# MGA SCAN
# Sequence: EARTH → VENUS → EARTH
# v∞ bounds: {'EARTH': (0, 100), 'VENUS': (3, 20)}
# Periapsis radii: [1.05, 1.1, 1.2, 1.3, 1.4, 1.5, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 15, 20, 30]
# Min flyby alt: {'VENUS': 200}
# Grid resolution: 7 days
# Propagation: 3000 days
#
sequence,t_launch_et,t_launch_utc,vinf_dep_km_s,c3_km2_s2,vinf_dep_vec_x,vinf_dep_vec_y,vinf_dep_vec_z,flyby_body,t_flyby_et,t_flyby_utc,tof_leg1_days,vinf_flyby_km_s,flyby_periapsis_km,flyby_alt_km,turn_angle_deg,vinf_in_vec_x,vinf_in_vec_y,vinf_in_vec_z,vinf_out_vec_x,vinf_out_vec_y,vinf_out_vec_z,target_body,t_arrival_et,t_arrival_utc,tof_leg2_days,tof_total_days,vinf_target_km_s,min_range_km,soi_fraction,vinf_target_vec_x,vinf_target_vec_y,vinf_target_vec_z
EARTH → VENUS → EARTH,907761669.183905,2028 OCT 07 00:00:00,16.561166514669694,274.27223632661673,16.232338474986694,-0.5132567089907845,3.2434536393725932,VENUS,931003269.1847718,2029 JUL 03 00:00:00,269.00000001003207,18.202093995939833,181554.0,175502.2,-0.6171329798566523,16.946828010766776,-4.315961987223979,-5.0491304533906805,16.89935864328588,-4.498242428690425,-5.0491304533906805,EARTH,939104962.105683,2029 OCT 04 18:28:13,93.7695939920277,362.76959400205976,16.639017490451064,901215.8061690123,0.9742192380804966,16.303916256629705,-1.0306938483873296,3.1586212079384532
EARTH → VENUS → EARTH,968846469.183905,2030 SEP 14 00:00:00,8.815534289225427,77.71364480450926,8.410102065186646,-2.6339750079706192,0.21448476644919692,VENUS,994507269.1847718,2031 JUL 08 00:00:00,297.00000001003207,5.759619277187572,36310.8,30259.000000000004,-24.577859234099055,4.073833890838131,-3.523331526015788,2.0403986389410775,2.2392747408326286,-4.8985340916877425,2.0403986389410775,EARTH,1001171074.3774773,2031 SEP 23 03:03:25,77.12737491557306,374.1273749256051,5.724330270421309,833259.9105966197,0.9007585415920039,5.1600162592902015,-2.46929130712466,0.211635746699456
EARTH → VENUS → EARTH,968846469.183905,2030 SEP 14 00:00:00,8.815534289225427,77.71364480450926,8.410102065186646,-2.6339750079706192,0.21448476644919692,VENUS,994507269.1847718,2031 JUL 08 00:00:00,297.00000001003207,5.759619277187572,42362.6,36310.799999999996,-21.69046664001478,4.073833890838131,-3.523331526015788,2.0403986389410775,2.4831866433921905,-4.779515844354605,2.0403986389410775,EARTH,1000880412.9895803,2031 SEP 19 18:19:04,73.76323848157983,370.7632384916119,6.098450512258216,732177.6637343864,0.7914880773508102,5.5235337022852296,-2.5760566721255955,0.21355587601122056
EARTH → VENUS → EARTH,968846469.183905,2030 SEP 14 00:00:00,9.312231556551287,86.71765656282962,8.846973703739536,-2.855225375777337,0.5444271316603576,VENUS,995112069.1847718,2031 JUL 15 00:00:00,304.00000001003207,6.877684412966086,30259.0,24207.2,-21.365395683174512,4.636651250334815,-4.648907085199131,2.0473570720102976,2.624338321206136,-6.0186144817470275,2.0473570720102976,EARTH,1001592378.7125888,2031 SEP 28 00:05:10,75.00358249788206,379.00358250791413,5.2435288289668,859517.3643003186,0.9291429933138305,4.539294735601779,-2.5717344811340546,0.5249568002131825
EARTH → VENUS → EARTH,969451269.183905,2030 SEP 21 00:00:00,8.387785207521285,70.35494068751288,8.237676026885682,-1.5755311129707081,-0.11548192779433536,VENUS,993902469.1847718,2031 JUL 01 00:00:00,283.00000001003207,4.968256597178493,30259.0,24207.2,-35.354479321573166,4.18309398104067,-1.6603036960582074,2.1044452946190795,2.450973144557053,-3.774601205693568,2.1044452946190795,EARTH,1000561220.0587515,2031 SEP 16 01:39:11,77.06887585624638,360.06887586627846,6.517496747285148,782839.2796482987,0.8462535625073393,5.959179609918325,-2.6370513784769933,-0.10909745587665542
