# MGA SCAN
# Sequence: EARTH → JUPITER → SATURN
# v∞ bounds: {'EARTH': (3, 13), 'JUPITER': (3, 13), 'SATURN': (0, 100)}
# Periapsis radii: [1.05, 1.1, 1.2, 1.3, 1.4, 1.5, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 15, 20, 30]
# Min flyby alt: {'JUPITER': 5000}
# Grid resolution: 7 days
# Propagation: 3000 days
#
sequence,t_launch_et,t_launch_utc,vinf_dep_km_s,c3_km2_s2,vinf_dep_vec_x,vinf_dep_vec_y,vinf_dep_vec_z,flyby_body,t_flyby_et,t_flyby_utc,tof_leg1_days,vinf_flyby_km_s,flyby_periapsis_km,flyby_alt_km,turn_angle_deg,vinf_in_vec_x,vinf_in_vec_y,vinf_in_vec_z,vinf_out_vec_x,vinf_out_vec_y,vinf_out_vec_z,target_body,t_arrival_et,t_arrival_utc,tof_leg2_days,tof_total_days,vinf_target_km_s,min_range_km,soi_fraction,vinf_target_vec_x,vinf_target_vec_y,vinf_target_vec_z
EARTH → JUPITER → SATURN,-708263951.816059,1977 JUL 23 00:00:00,12.895822798006572,166.30224563758605,1.6888455173576382,12.682701265783322,-1.6121833205268934,JUPITER,-643982349.8160741,1979 AUG 06 00:00:00,744.0000231479729,7.269457313859995,699460.0,629514.0,101.48137800733677,0.14730441635548885,7.266772023199401,0.13166400343766227,-7.150680782191575,-1.3020900811493195,0.13166400343766227,SATURN,-573389482.9557437,1981 OCT 31 01:07:45,817.0470701427137,1561.0470932906867,9.941719293447132,35427175.80959679,0.6461732512513751,-9.436924157303062,-3.125953367332146,0.10324971803188232
EARTH → JUPITER → SATURN,-708263951.816059,1977 JUL 23 00:00:00,12.895822798006572,166.30224563758605,1.6888455173576382,12.682701265783322,-1.6121833205268934,JUPITER,-643982349.8160741,1979 AUG 06 00:00:00,744.0000231479729,7.269457313859995,839352.0,769406.0,95.60714783718453,0.14730441635548885,7.266772023199401,0.13166400343766227,-7.246394787478668,-0.5634153106131715,0.13166400343766227,SATURN,-573313495.6087849,1981 OCT 31 22:14:12,817.9265533251067,1561.9265764730796,9.9437428166485,45987144.90174065,0.8387815923186358,-9.619531771665402,-2.5162364527318566,0.10575354136831844
EARTH → JUPITER → SATURN,-708263951.816059,1977 JUL 23 00:00:00,12.876611231493426,165.80711680702265,1.6775386227355753,12.667848490049863,-1.5870083835299815,JUPITER,-643377549.8160741,1979 AUG 13 00:00:00,751.0000231479729,7.17670765136169,699460.0,629514.0,102.2918907823386,0.19400132491379551,7.172969573268116,0.1265057311545671,-7.049835726759032,-1.3375145751768223,0.1265057311545671,SATURN,-572058032.9311109,1981 NOV 15 10:58:35,825.4573713537416,1576.4573945017146,9.758903929849698,40343315.168567285,0.7358410749092319,-9.225440836120539,-3.1808540344619782,0.0980556103566127
EARTH → JUPITER → SATURN,-708263951.816059,1977 JUL 23 00:00:00,12.876611231493426,165.80711680702265,1.6775386227355753,12.667848490049863,-1.5870083835299815,JUPITER,-643377549.8160741,1979 AUG 13 00:00:00,751.0000231479729,7.17670765136169,839352.0,769406.0,96.44654025669263,0.19400132491379551,7.172969573268116,0.1265057311545671,-7.149396940515142,-0.6125784848092651,0.1265057311545671,SATURN,-571951214.150145,1981 NOV 16 16:38:54,826.6936998371422,1577.693722985115,9.75868767768895,40363862.102404,0.7362158402902454,-9.409176147307285,-2.5863603532723687,0.10064562902889168
EARTH → JUPITER → SATURN,-708263951.816059,1977 JUL 23 00:00:00,12.859758619362728,165.37339174827397,1.665058819486486,12.655336689584459,-1.5631455943646757,JUPITER,-642772749.8160741,1979 AUG 20 00:00:00,758.0000231479729,7.085748387879644,699460.0,629514.0,103.09254615958278,0.24079656749117717,7.080612731026801,0.12153428588107323,-6.951101699552351,-1.3693957777701702,0.1215342858810732,SATURN,-570721360.9623661,1981 NOV 30 22:16:27,833.9281117327318,1591.9281348807046,9.577915356657096,46076324.90143084,0.8404081891056933,-9.016753968318438,-3.2289213411715814,0.09315270596308739
EARTH → JUPITER → SATURN,-708263951.816059,1977 JUL 23 00:00:00,12.84519696152841,164.9990849804587,1.6514213363172843,12.645109614582875,-1.5404854382948487,JUPITER,-642167949.8160741,1979 AUG 27 00:00:00,765.0000231479729,6.99989905013624,699460.0,629514.0,103.85347736293075,0.28791228976325556,6.992999363534315,0.1168465964852271,-6.8585191972944335,-1.3948648699181496,0.11684659648522709,SATURN,-569413818.3686249,1981 DEC 16 01:28:49,842.0617065676992,1607.061729715672,9.40406527493767,52147721.19931087,0.9511472981592002,-8.816601724748145,-3.270498890675979,0.08840095329667191
EARTH → JUPITER → SATURN,-708263951.816059,1977 JUL 23 00:00:00,12.808499857015496,164.05766858716598,1.5856402247597572,12.625822454356314,-1.460144176395512,JUPITER,-639748749.8160741,1979 SEP 24 00:00:00,793.0000231479729,6.685987783213542,1049190.0,979244.0,93.770874913355,0.47124949160839247,6.668612206171395,0.09983885837411005,-6.685167364338116,0.03165675959173686,0.09983885837411005,SATURN,-562727105.1151311,1982 MAR 03 10:54:03,891.454221075729,1684.454244223702,8.612575560672068,50250860.69305332,0.9165495496091522,-8.32624884432911,-2.2009346573744324,0.07697145290335591
EARTH → JUPITER → SATURN,-708263951.816059,1977 JUL 23 00:00:00,12.804419343370713,163.95315472088606,1.5664572870504827,12.626132860861766,-1.442267405372241,JUPITER,-639143949.8160741,1979 OCT 01 00:00:00,800.0000231479729,6.616693100376579,1049190.0,979244.0,94.4583662537095,0.5163158304255413,6.595818604434136,0.09603377126581053,-6.615995841864331,0.002029724457662363,0.09603377126581052,SATURN,-561338670.7354169,1982 MAR 19 12:34:37,900.5240634335329,1700.5240865815058,8.448248020251906,45572156.432748094,0.8312124185949966,-8.145353017475434,-2.2407013999587484,0.07332167903834003
EARTH → JUPITER → SATURN,-708263951.816059,1977 JUL 23 00:00:00,12.802245960140652,163.89750162393764,1.5462249159156585,12.628365961421341,-1.4251537733711899,JUPITER,-638539149.8160741,1979 OCT 08 00:00:00,807.0000231479729,6.54879862237531,1049190.0,979244.0,95.13676772663804,0.560680363299352,6.524099933702421,0.09230916368012881,-6.548097593736477,-0.025696646240134124,0.09230916368012883,SATURN,-559931741.9802781,1982 APR 04 19:23:26,909.8079610624537,1716.8079842104266,8.283803216638079,41784356.63449398,0.7621249213617526,-7.964947908831453,-2.2751117628207744,0.06976394670167077
EARTH → JUPITER → SATURN,-708263951.816059,1977 JUL 23 00:00:00,12.80194664124758,163.8898378053502,1.524943219608211,12.63249022672371,-1.4087500324937348,JUPITER,-637934349.8160741,1979 OCT 15 00:00:00,814.0000231479729,6.48539617621048,1049190.0,979244.0,95.77458336083764,0.6058792446930301,6.45642257761102,0.0887772638144112,-6.48461958576859,-0.04680798758250826,0.0887772638144112,SATURN,-558551076.4325306,1982 APR 20 18:54:31,918.7878863836053,1732.7879095315782,8.125803905831242,39157648.817071885,0.7142151376523987,-7.792248350240696,-2.3032885887228627,0.06645631085501481
